Cell.line,Veratridine.EC50,TTX.IC50,PF_05153462.IC50,X5uM.Veratridine.Response,X60mM.KCl.Response,Veratridine.KCl.Response.LogRatio,avr.MFR.Hz,mean.RMP,mean.cap,mean.rheo
BEZI_1,0.657533888,-1.356547324,-0.15490196,178.159,256.7625,-0.527269148,-0.553246206,-56.41363636,44.92272727,127.5
BIPT_1,0.568201724,-2.397940009,0.602059991,144.3466667,658.075,-2.188714223,-0.540119343,-57.64285714,78.30952381,86.38095238
CICB_3,0.426511261,-1.443697499,NA,245.125,156.32,0.649015258,NA,-54.66666667,51.33333333,76.33333333
COYI_3,0.359835482,-1.619788758,0.320146286,529.1033333,928.8,-0.811818465,-0.775589848,NA,NA,NA
CUHK_2,0.645913275,-1.795880017,NA,274.3208333,610.275,-1.153595299,NA,-54.83333333,74.2,79.55555556
DARD_2,0.51851394,-1.769551079,NA,145.905,221.945,-0.605172884,NA,NA,NA,NA
DONS_1,0.69019608,-1.730487056,-0.232844134,179.1395,518.005,-1.531882539,NA,NA,NA,NA
EIPL_1,0.477844476,-0.913640169,0.478566496,335.8891667,400.9275,-0.255356111,-1.182419758,-55.24,38.965,62.55
EIWY_1,0.639486489,-1.843148099,-0.003050752,270.1070833,641.0525,-1.24691104,-0.727964901,-56,49.68571429,112.6190476
EOJR_3,0.656098202,-1.288192771,-0.522878745,137.0108333,566.665,-2.048206127,NA,NA,NA,NA
FAFQ_1,0.531478917,-0.886056648,0.426511261,411.546,571.815,-0.474494771,-0.899667685,NA,NA,NA
FEBC_2,0.489958479,-1.568636236,0.117271296,351.0633333,583.64,-0.73334744,-0.980249009,NA,NA,NA
FEEC_3,0.755112266,-1.853871964,-0.197226275,207.9783333,922.18,-2.148615137,-0.854712827,NA,NA,NA
FIKT_3,0.658488381,-1.552841969,0.764176132,187.8625,570.0775,-1.601480949,NA,-53.11428571,66.97142857,130.952381
GUSS_1,0.456366033,-1.180456064,0.532754379,585.29,704.21,-0.266854084,-1.277984909,NA,NA,NA
HAYT_1,0.403977964,-0.929962133,-0.193820026,185.0091667,116.8725,0.662661249,-1.018915649,NA,NA,NA
HEHD_2,0.225309282,-0.337242168,NA,403.85,323.555,0.319808568,-0.147049308,NA,NA,NA
HIAF_2,0.584896344,-1.004364805,0.434568904,180.6591667,209.375,-0.212818731,-0.560968521,-54.26666667,79.83333333,78.66666667
HOIK_1,0.456366033,-0.908333042,-0.142667504,123.605,168.975,-0.451072711,-0.55912176,NA,NA,NA
JOXM_1,0.736396502,-1.838631998,0.615423953,167.0435,572.1825,-1.776251528,NA,NA,NA,NA
KEHC_2,0.609594409,-0.421934116,0.041392685,157.69,99.55,0.663597953,-1.309431827,-59.285,34.4475,125.5
KOLF_3,0.67669361,-2.096910013,0.806179974,205.42375,821.8875,-2.000337943,NA,NA,NA,NA
KUCG_2,0.758154622,-1.167491087,-0.665546249,97.02166667,639.545,-2.720667006,-0.988100542,NA,NA,NA
KUXP_1,0.599883072,-1.958607315,0.506505032,319.1225,777.65,-1.285010651,-0.659775732,-55.72857143,64.21428571,94.85714286
LISE_1,0.435366507,-1.381951903,0.341434525,381.4575,588.6325,-0.625844871,-0.595611749,-60.39047619,78.65238095,168.5714286
MIJN_2,0.378397901,-1.647817482,0.644438589,246.4454167,478.4975,-0.957243237,NA,NA,NA,NA
NEKD_1,0.437750563,-1.27572413,NA,571.28,570.345,0.002363158,NA,NA,NA,NA
NEMB_1,0.657055853,-1.084336396,-0.37675071,200.6523333,438.2425,-1.127031468,-0.029406133,-55.46666667,57.41136364,99.27272727
NIBO_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NUKW_1,0.419955748,-0.823908741,NA,449.5833333,221.62,1.020500471,-1.185140028,NA,NA,NA
OEVR_3,0.604226053,-1.580870692,0.004321374,250.9933333,561.925,-1.162728542,NA,-53.86666667,92.85238095,146.3333333
OUGL_2,0.682145076,-1.522878745,0.675778342,216.4583333,650.7,-1.58790321,NA,-55.15909091,26.60909091,76.72727273
PAHC_4,NA,-1.698970004,0.436162647,100.2525,874.925,-3.125521138,NA,NA,NA,NA
PAMV_3,0.627877695,-0.214670165,0.348304863,142.165,146.18,-0.040179611,-1.041922123,-52.88571429,39.25714286,68.57142857
PELM_3,0.737192643,-1.585862638,0.498310554,125.9583333,709.4875,-2.493830693,-1.297724596,-53.77619048,62.55238095,90.57142857
PODX_1,0.750508395,-1.468521083,0.093421685,96.95666667,615.88,-2.667237274,-1.411558344,NA,NA,NA
POSC_1,0.403120521,-0.993747949,NA,330.4275,528.825,-0.678456621,NA,-59.37,54.32,109.35
QAQX_1,0.309630167,-0.886056648,0.522444234,638.81,761.1,-0.252699123,-1.649651175,NA,NA,NA
QOLG_1,0.583198774,-2.22184875,0.181843588,289.0466667,783.28,-1.438225687,-0.533796681,NA,NA,NA
QONC_2,0.394451681,-0.858550227,0.571126277,330.135,474.6125,-0.523694,-0.194492062,-59.1,43.7,145.5
QONY_1,0.62324929,NA,NA,137.7341667,614.38,-2.15724477,-0.766148842,-58.94,59.23,170.25
RAYR_1,0.772321707,-1.494850022,0.5774918,75.32,215.245,-1.51487482,-0.654707842,-58.68095238,75.13333333,98
ROBP_3,0.51851394,-1.341988603,0.309630167,327.4158333,489.975,-0.58158405,NA,-53.23333333,66.83333333,55
ROZH_5,0.629919036,-1.869666232,0.440909082,197.7163333,513.465,-1.376833883,-0.868919458,-58.63157895,66.96315789,111.9473684
RUQL_3,0.51851394,-1.229147988,NA,74.8,13.995,2.418126783,NA,NA,NA,NA
UAQE_1,0.274157849,-2.017728767,0.230448921,517.1816667,1036.79,-1.003380669,-1.548395563,NA,NA,NA
UIMO_1,NA,-1.508638306,0.298853076,94.78,717.5475,-2.920419772,NA,NA,58.77777778,134.4444444
VABJ_3,0.605305046,-1.48148606,0.170261715,143.835,761.38,-2.404201898,-1.086445743,-55.765,56.97,86.35
VASS_1,0.575187845,-1.244125144,NA,304.9916667,433.8,-0.508260229,NA,NA,NA,NA
VEQZ_6,0.617000341,-1.886056648,0.120573931,252.53,555.18,-1.13650081,NA,-57.10625,57.42857143,102.8571429
WIBJ_2,0.389166084,-0.886056648,NA,128.7466667,16.01,3.007489868,NA,-54.975,34.045,78.5
WUYE_2,0.612253906,-1.59345982,0.164352856,169.7566667,444.0075,-1.387115813,-0.761422442,-58.075,57.14,175
XAVK_3,0.235528447,-1,NA,115.9825,650.9,-2.488528773,NA,NA,65.25,156.9230769
XUCM_3,0.605843539,-1.908333042,0.273001272,204.7483333,450.74,-1.138443776,NA,NA,NA,NA
XUGN_1,0.754730469,-2.292429824,NA,92.93833333,592.2225,-2.671793625,-1.51602066,-56.425,86.85833333,131.7916667
YEMZ_1,0.727541257,-1.815308569,-0.13667714,179.6320833,402.1625,-1.162733516,NA,-58.375,47.92857143,82.85714286
ZAUI_3,0.646403726,-1.281498311,-0.113509275,245.0366667,485.9775,-0.987891874,NA,NA,NA,NA
UOFV_1,NA,NA,NA,NA,NA,NA,-1.568970128,NA,NA,NA
OAPG_5,NA,NA,NA,NA,NA,NA,NA,-53.92272727,52.93181818,117.4090909
SEBZ_1,NA,NA,NA,NA,NA,NA,NA,-54.47058824,60.88235294,94.58823529
