Sample	HIPSCI.Cell.line	donor	HipsciID	open-access	replicate	Differentiaton.Replicate	Extraction.Replicate	Protocol	RNA.Date	hasEphys	hasATAC	hasCa	hasImage	NeuronQuality	All counts	Assigned counts	fibroblast_fraction V5	RIN	Notes
aehn_22	aehn_22	aehn	HPSI0713i-aehn_22	0	1	A	A	P1	19/03/2014	NO	NO	NO	NO	Good	43764094	33134969	0.598	10	
airc_2	airc_2	airc	HPSI0313i-airc_2	0	1	A	A	P2V2	21/10/2014	NO	NO	NO	NO	Poor	52817900	38851649	1	10	
auim_2	auim_2	auim	HPSI0613i-auim_2	0	1	A	A	P2V2	09/12/2014	NO	NO	NO	NO	Good	36215739	24145677	0.123	NA	
babk_2	babk_2	babk	HPSI1213i-babk_2	1	1	A	A	P2V2	02/12/2014	NO	NO	NO	NO	Good	102769102	65127890	1	NA	
bezi_1	bezi_1	bezi	HPSI0114i-bezi_1	1	1	A	A	P2V2	28/07/2015	YES	NO	YES	4W	Good	36616641	27380814	0.034	9.7	
bipt_1	bipt_1	bipt	#N/A	1	1	A	A	P2V2	07/07/2015	YES	NO	YES	4W	Good	57580401	40428489	0.219	10	No match in genotype data
bulb_1	bulb_1	bulb	HPSI0913i-bulb_1	0	1	A	A	P2V2	07/04/2015	NO	YES	NO	1W|D11	Good	43171068	32068560	1	9.8	
cehw_3	cehw_3	cehw	HPSI0513i-cehw_3	0	1	A	A	P2V2	25/11/2014	NO	NO	NO	NO	Good	75086388	48002246	0.987	NA	
cicb_3	cicb_3	cicb	HPSI0713i-cicb_3	0	1	A	A	P2V2	12/05/2015	YES	NO	YES	NO	Good	35778096	26854586	0.614	10	
coxy_3	coxy_3	coxy	HPSI0413i-coxy_33	0	2	A	A	P2V2	10/09/2014	NO	NO	NO	NO	Good	43678109	33830221	0.533	X	
coxy_33	coxy_33	coxy	HPSI0413i-coxy_3	0	1	A	A	P1	19/03/2014	NO	NO	NO	NO	Good	44191540	33867816	0.674	X	
