Sample	HIPSCI.Cell.line	donor	HipsciID
aehn_22	aehn_22	aehn	HPSI0713i-aehn_22
airc_2	airc_2	airc	HPSI0313i-airc_2
auim_2	auim_2	auim	HPSI0613i-auim_2
babk_2	babk_2	babk	HPSI1213i-babk_2
bezi_1	bezi_1	bezi	HPSI0114i-bezi_1
bulb_1	bulb_1	bulb	HPSI0913i-bulb_1
cehw_3	cehw_3	cehw	HPSI0513i-cehw_3
cicb_3	cicb_3	cicb	HPSI0713i-cicb_3
coxy	coxy_3	coxy	HPSI0413i-coxy_33
coyi_3	coyi_3	coyi	HPSI0913i-coyi_3
cuau_2	cuau_2	cuau	HPSI0513i-cuau_2
cuhk_2	cuhk_2	cuhk	HPSI0314i-cuhk_2
cups_3	cups_3	cups	HPSI1013i-cups_3
dard_2	dard_2	dard	HPSI0713i-dard_2
debk_7	debk_7	debk	HPSI0513i-debk_7
dons_1	dons_1	dons	HPSI1113i-dons_1
dovq_33	dovq_33	dovq	HPSI0513i-dovq_33
eika_2	eika_2	eika	HPSI0913i-eika_2
eipl_1	eipl_1	eipl	HPSI0114i-eipl_1
eiwy_1	eiwy_1	eiwy	HPSI0214i-eiwy_1
eojr	eojr_3	eojr	HPSI0613i-eojr_3
fafq_1	fafq_1	fafq	HPSI0314i-fafq_1
febc_2	febc_2	febc	HPSI0613i-febc_2
feec_3	feec_3	feec	HPSI0214i-feec_3
ffdl_1	ffdl_1	ffdl	HPSI0913i-ffdl_1
ffdm_3	ffdm_3	ffdm	HPSI0813i-ffdm_3
fikt_3	fikt_3	fikt	HPSI0114i-fikt_3
focm_1	focm_1	focm	HPSI0613i-focm_1
funp	funp_3	funp	HPSI0613i-funp_3
giuo_4	giuo_4	giuo	HPSI0613i-giuo_4
golb_1	golb_1	golb	HPSI0513i-golb_1
guss	guss_1	guss	HPSI0813i-guss_1
hayt_1	hayt_1	hayt	HPSI1113i-hayt_1
hehd	hehd_2	hehd	HPSI1213i-hehd_2
hiaf_2	hiaf_2	hiaf	HPSI1013i-hiaf_2
hikj_1	hikj_1	hikj	HPSI0613i-hikj_1
hoik_1	hoik_1	hoik	HPSI0314i-hoik_1
huls	huls_2	huls	HPSI0513i-huls_2
iicq_1	iicq_1	iicq	HPSI0813i-iicq_1
iurx	iurx_3	iurx	HPSI0613i-iurx_3
joxm_1	joxm_1	joxm	HPSI0114i-joxm_1
kaks_3	kaks_3	kaks	HPSI0713i-kaks_3
kehc_2	kehc_2	kehc	HPSI0214i-kehc_2
kolf_3	kolf_3	kolf	HPSI0114i-kolf_3
kucg_2	kucg_2	kucg	HPSI0214i-kucg_2
kuxp_1	kuxp_1	kuxp	HPSI1013i-kuxp_1
lise_1	lise_1	lise	HPSI0913i-lise_1
meqo_3	meqo_3	meqo	HPSI0813i-meqo_3
mijn_2	mijn_2	mijn	HPSI1013i-mijn_2
nekd_1	nekd_1	nekd	HPSI1213i-nekd_1
nemb_1	nemb_1	nemb	HPSI0713i-nemb_1
nibo_2	nibo_2	nibo	HPSI1113i-nibo_2
nukw	nukw_1	nukw	HPSI0613i-nukw_1
oapg_5_b	oapg_5	oapg	HPSI0913i-oapg_5
oarz	oarz_2	oarz	HPSI0513i-oarz_22
oefg_2	oefg_2	oefg	HPSI0613i-oefg_2
oevr_3	oevr_3	oevr	HPSI0114i-oevr_3
oomz	oomz_2	oomz	HPSI0613i-oomz_2
ougl_2	ougl_2	ougl	HPSI0413i-ougl_2
pahc_4	pahc_4	pahc	HPSI1213i-pahc_4
pamv_3	pamv_3	pamv	HPSI1013i-pamv_3
pelm	pelm_3	pelm	HPSI0214i-pelm_3
piun	piun_3	piun	HPSI0813i-piun_3
podx	podx_1	podx	HPSI1113i-podx_1
qaqx	qaqx_1	qaqx	HPSI0314i-qaqx_1
qolg_1	qolg_1	qolg	HPSI1113i-qolg_1
qonc_2	qonc_2	qonc	HPSI0314i-qonc_2
qony_1	qony_1	qony	HPSI0613i-qony_1
rayr_1	rayr_1	rayr	HPSI0214i-rayr_1
riiv_1	riiv_1	riiv	HPSI0613i-riiv_1
robp_3	robp_3	robp	HPSI0813i-robp_3
rozh_5	rozh_5	rozh	HPSI0114i-rozh_5
ruql_3	ruql_3	ruql	HPSI0913i-ruql_3
ruyv_1	ruyv_1	ruyv	HPSI0713i-ruyv_1
sebz_1	sebz_1	sebz	HPSI1013i-sebz_1
sukz	sukz_1	sukz	HPSI0413i-sukz_1
tadm_4	tadm_4	tadm	HPSI0713i-tadm_4
uaqe_1	uaqe_1	uaqe	HPSI0813i-uaqe_1
uimo_1	uimo_1	uimo	HPSI0713i-uimo_1
uofv_1	uofv_1	uofv	HPSI1113i-uofv_1
uoxz_5	uoxz_5	uoxz	HPSI0513i-uoxz_5
vabj_3	vabj_3	vabj	HPSI0114i-vabj_3
vass_1	vass_1	vass	HPSI0114i-vass_1
veqz_6	veqz_6	veqz	HPSI0513i-veqz_6
vopm_2	vopm_2	vopm	HPSI0913i-vopm_2
vorx	vorx_1	vorx	HPSI0613i-vorx_1
wibj_2	wibj_2	wibj	HPSI0214i-wibj_2
wuye_2	wuye_2	wuye	HPSI1013i-wuye_2
xavk	xavk_3	xavk	HPSI0613i-xavk_33
xekf_2	xekf_2	xekf	HPSI0413i-xekf_2
xucm_3	xucm_3	xucm	HPSI0613i-xucm_3
xugn_1	xugn_1	xugn	HPSI0314i-xugn_1
xuja_2	xuja_2	xuja	HPSI1213i-xuja_2
yemz_1	yemz_1	yemz	HPSI1013i-yemz_1
yuze	yuze_1	yuze	HPSI0413i-yuze_1
zaui_3	zaui_3	zaui	HPSI0513i-zaui_3
zuta_1_1	zuta_1	zuta	HPSI1113i-zuta_1
